weapon,driverHz,shotCount,paintStamps,impacts,peakProjectiles,scenario,gridHash,charge,lastPaintForward,maxOwnedForward,ownedWidth,ownedDepth,centerlineContinuous,connectedReach,ownedArea,simulationMilliseconds,inkSpent,attackSeconds,ownedAreaPerSecond,ownedAreaPer100Ink,emittedProjectiles,fullActions,fullTank,targetValidated,captureSet
3,60,1,124,8,8,high-drop,c3ba6d24ac1d091a9cfc7c10a9161d678063998b68d15120f244e49d30fa0a90,0.0,19.73406982421875,20.5,3.75,9.625,0.0,0.0,19.453125,98.1166,4.0,0.4,48.6328125,486.328125,8,False,False,False,after-direct
3,60,1,150,8,8,wall-middle,ad6ba9cdab8d672270de876e1d33b587e5144d92e64bd59b3b9d78e375c4b0f9,0.0,6.0,6.25,2.375,6.25,0.0,0.5,8.78125,83.30810000000001,4.0,0.4,21.953125,219.53125,8,False,False,False,after-direct
4,60,20,80,20,3,continuous,57f9c61853803d513fad59cdb6eff4ad442db318d81076c466dec676a3ae793d,0.0,9.60101318359375,10.875,2.125,12.0,1.0,1.25,6.984375,72.5492,16.00000023841858,1.666666666666666,4.190625000000002,43.6523430995294,20,False,False,False,after-direct
4,60,1,4,1,1,flat,15184ccfab0141b47e239129bf671bb38f298c91bfa74293c12f81855c8568c3,0.0,9.60101318359375,10.875,2.125,12.0,1.0,1.25,6.9375,48.772600000000004,0.800000011920929,0.08333333333333333,83.25,867.1874870778995,1,False,False,False,after-direct
4,60,1,4,1,1,high-drop,6f57eb21ec672de4e50850059c6121e1d594299c03b29104e5ccf0da58f4f1a7,0.0,12.24072265625,13.25,2.125,14.375,1.0,1.25,7.390625,45.9733,0.800000011920929,0.08333333333333333,88.6875,923.8281112338884,1,False,False,False,after-direct
4,60,1,16,1,1,wall-middle,8fc63f0e82a3118a0f557422a0014889bf1ab0b8de5ec80e83f86c9d83abc032,0.0,6.0,6.25,3.5,7.375,1.0,1.25,7.921875,44.918,0.800000011920929,0.08333333333333333,95.0625,990.2343602443582,1,False,False,False,after-direct
5,60,20,240,20,1,continuous,4af9ca2d9ce945d4abb015268950755d6d863967a5fe5b44a6efcacf5b7e2e6d,0.0,12.58984375,14.125,6.375,13.75,0.0,14.125,23.53125,211.30270000000002,140.0,11.66666666666667,2.0169642857142853,16.808035714285715,20,False,False,False,after-direct
5,60,1,12,1,1,flat,e7e26e31e7e415af80a5bc62024e281561dd60e87b0be018327cbf1df3f695d4,0.0,12.58984375,14.0,6.375,13.625,0.0,14.0,23.25,65.7437,7.0,0.5833333333333334,39.857142857142854,332.14285714285717,1,False,False,False,after-direct
5,60,1,9,1,1,high-drop,05cece38942c4e239072332d11638a5dddbd37c695d30c44f64401f4e611912b,0.0,10.90338134765625,11.75,1.875,11.375,0.0,11.75,11.6875,41.8644,7.0,0.5833333333333334,20.035714285714285,166.96428571428572,1,False,False,False,after-direct
5,60,1,6,1,1,wall-middle,a001c09cd2f6203218fe8547e196381c58a0ef0ce8e5801c0f986d4370e533e0,0.0,6.0,5.5,2.375,5.6875,0.0,5.5,9.5,49.386300000000006,7.0,0.5833333333333334,16.285714285714285,135.71428571428572,1,False,False,False,after-direct
