scenario,gridHash,trace.csv SHA256,paint.csv SHA256
w5-q0-occluded-60,5a687a26cb059697c9a10c1bcd0b627677003f05768a10bc0edff5c606d6bc84,ee549d39c97254f35c6275370c85d37e6c62b6805499263a38001141cdc926d2,68a9c8e995741e26ca16e59e69a4b2573505c40d3cedcab1ff203d8618c00f8f
w5-q0-slope-60,36bd6dccf1256523178ef6c28d060522414ff77bfddfc738074550cedbb8ba80,2825fc41a7169b5301027801ffe1a0832f644ea1294cdeb1fdf9bd7aaeaa3c6e,ccc41bfbe58a8e450d5c85133a01cc51f09fc7f5d3173cf14e8796917b0b49c1
w5-q0-up30-60,80d437391fdc2a4d8d6231634218bf7a642df58b121da8a3bc06d012c1348048,6b69c10a6ea8bc05e4541499465628c0140e189f7464b5fabd56f5e1b565f64d,925a96bd2c629bd7bba43aedcf71989529a5f54bd35c20680cdb9d43a6f717d4
w5-q0-wall-far-60,79b8e7cd75b0a20a6fbec3acd38ca913b6455b31b27b233fb48861d8ab7870fb,5f67b6fd29a561ad0ed1cd07d483c662a1e9f39a7fe08824c57355ae95715cb9,06ae9c083cec2caef98f4fcb9846a8986a8b7b8ade5e433b1f8c8845d9d245e2
w5-q0-wall-middle-60,7b32a97c660a67597df957e52ecc997f8afb8c772ee2014869e2f9bbcdd88b5e,42170d3a8f5776b589f46b83696b22a3ad8290b4cc09a8e20ebe2876b1a2ca73,7dd10e21e35d665b3fda0e1eece1d72be1364dac3d053d25b7dbe37642c71228
w5-q0-wall-near-60,80745e5c2e33568c2a0b156b1de9add3719f95a3d8824e8f99f684e69c26d08a,ef54eff39b357ccaa0c1fa5193bce62e05b72e90a75c8c8577c32b2eb1427bb4,65b8127a5c17f4651faa2b1324171c2b111f6e8938d702bafb690ad5a162add0
w5-q30-down30-60,3f220e3638a130d993a8630ee5c0de6c03d4568d54803b583bcedf834904d6c3,22e3d0b8d3da1ea2235dea49143c5f72d2dbcd6be5c555c5498ed6ee28d4286e,225ac696985a8c7511e69d87c5fce74bdc29e4b58e813e7a609ad1377487448d
w5-q30-flat-60,a20b2a04ac75faed6f69d9406fcde9057ad4c46b09b181fd06197055dcb70ad5,19458165c29fb0f9a77789cfb7f3f2142d7ef1e9967858ee7958b6c0c638b512,db9c3813cb88c13d6ce1db77854163f93ca7e13bb35b294a3464b152e9a13822
w5-q30-high-drop-60,0e8bfb839d4e8334947be3f0b631a1d564ab31cf5a12dc7d87622c2d500cdc5e,dd81340b8e0f45a6f18b29ca8f0337e0111a1dc25895387017a654a3675c20f1,caad844160badf7b7b943f91e1ca0dd1ada321746ffacf52d0f00de6356ea5c0
w5-q30-occluded-60,5c134b1570b94cf2f9a61e5a5be2180ec50977a6482f68d543b75ea4612f4a90,f6de3a8d7af10cdb03b3a417ab8bbdc53f02ffbe7d094403bb266021f2f49de8,c2bee201b000d0c467f2d9c80d8470d92868cfdcba0f5cc4857cde7ce5dde542
w5-q30-slope-60,b8e77b5031ea10a1581b0185544e6f1c52026002d51107e378d729c3f4ed35c7,ef18d2297a6214dfbf62867ac2cc0387ef61a2eb42aafe880ea43fab4e9695a6,782d40e95334b2b5e291f3d1ce01d2eb0a993a114e1e5f595497121eb3bb10a3
w5-q30-up30-60,a949b980facdfb86d4b3dfb28a0d740f3ddb61114fb309918b2a24bb2e5b2e7c,0188f2a7ee33e04a9ff3a0d53a8dbc8186de3032277415ddd548ac4e6d270389,d26d4b0b30f5ab86791d5e44d045d0d856f85ba2810b25528d837c96dcf67b3f
w5-q30-wall-far-60,8f9c5c37e867a8901f31a2ad207a1a772376c04d1de053c12ecf0a054722074a,e55f91c796e3376d48dd629b8db5740f9fcaa0555f0a24cc6b47ed8462d80d20,097610a192623ca9cf6382ea0ce6455200383d1337b546d0b815e285b19423f7
w5-q30-wall-middle-60,d12c8f08121b7992520ce5d0e2452249222c0c637da534461e08857307a7590e,70c22180e3af12f032f61e1e8e7643b4b05e9f8127e6745494af2c76d5c11d83,846a6fc81ade4fdba27c89648d5004c28415a59a97bcee4f453963475c6d30ee
w5-q30-wall-near-60,5379197f94c5bdfcc00c4ecb9313d2782333be0585f1c49ca4d882ef81d25af9,42a4cf3ed75f4717a71bb6478e750e5d57560c8bda11f4c2968213684242bde6,7ddbe8467670545ad01333f4d22f468e6214d6e61ff17d3537e7be43b88d32b2
w5-q59-down30-60,e8f4bf5ff831c43973ce7c4360333c334370d68c1e19ef8ab91bf8b13d22e802,9a8732f542c3a5aea5f6564bf24e0fc775a5eecb087811e24e1b377fdf7c3bfd,a2dcbe3db2da6c02ea4ce98d9f776a33c48bdc897cad1bf06ece8053dc9d951b
w5-q59-flat-60,1db9a39fa16beecc60393c60291e8bf1a72b6cb341723ccc9cad72d632086645,070f013d5c9ab2986a773bdb05b4632cae287b6993b55dbe52cc4cb86bf5f3b9,1216d5ab0504bd50e96000103a7aef7e727d75efd73231f67e4220c9349070d7
w5-q59-high-drop-60,534936ff2ee2db259c2536cc0b01396ed17adaa9b7e5d40d3f27805aeb410d48,df14db3672a7c3e79171e46e67b18163166e669bc294bae17aadc75cda114844,f6bce7f689ae9cbb8d00d555be38f38a4e3f54774a76f781dc9820bac08445e7
w5-q59-occluded-60,68a41d26a9e4f339401d9fc4bb710bad5c8d263052cb03d75b358fe0fb0f2b17,137278e4c531a2d2383cdf3a045774b4498378a0115b40f70b9a1410cabe5b5b,db6521e4e30da4fc8e496a3375d8d731cd8e6ae4068c21e633e4b976825d92c8
w5-q59-slope-60,825bc819c0323498c70a5090d52c12cde9f2adfb4e70e7e41f1fc4ef410826cc,ea4ddad5f767b34da4da6eb0e4f120b218a3de7b338c4b1655a5ddf9977b00a3,f734062a5344cce2fa7e321a86992baeba326cb4c1a4e4fa2d73245b507dc655
w5-q59-up30-60,7b45025719a5a7550382f1d9e95aaf13cf70c894fa2558be91f7fa6e3bd49906,bdf2a3d1cd4b3ca3414fdca8e8a2fd973910b1400e650730f8140526ef51756f,459f44dda2b5463a18bb6fa82b853c4312856584afbb27a661153b64b86cab56
w5-q59-wall-far-60,d4412e6a0c7247457b96b6c4ad867fe2336fea4b3dbf6087e77a769e7cac9e7d,3ca0588305b80c7937174c08b58b49281069ed3f7146a31b65d0f61e4f8a0348,40393fbe92c28aaa9bb2641046f6f2a50e3df5ed5c03dac326ed573e526aa3b0
w5-q59-wall-middle-60,25e7f7a72d17a15025cbe0067be0017237eb975cfb72c5ee27dc71849fedd30b,cdd35486e24e86a7158055e6a64c26cf0005fb144e1399487b1cb7b899e28b94,49ce179fb756954b74c086cb2b1a9ec57d432259de580181117f535a44447749
w5-q59-wall-near-60,87e0ee5c45d55d9cc66f6ce04338cb7f1c04bcf7ebfbdfe2059b4cf20a7eccb7,300199bbf761285dddff0288250f75f204b3f037d8e5156ca93b7aa2f03a3b15,c370c781fbeeeacbff62cc1036213db5122882cd8c914a4406b44cf8ef063f9a
w5-q60-continuous-144,61e6708b25dcd687bc49c6899a2f2a3ba5c3ed4856681f7d0cd646d268fd289d,8cb5a0f6d114331b078db8c09ee31e17ce83276ba5904d42fd98721931c91ff7,25ffb7bb0c6c196e9088208a5406ee6464b998fcf93b75da0c5f2a826387370e
w5-q60-continuous-30,11581e06b288ec19ac6a421871c4515c3b5bc61ffc45397e56e3916d4c45759d,f9b30b48085b61e992fd09b81d139d93f295c32f66a09502863b894c385bf14a,81891b962bc00117efb144848e536e7392c1e6121db60ff68b1e78e6f4b8cda0
w5-q60-continuous-60,11581e06b288ec19ac6a421871c4515c3b5bc61ffc45397e56e3916d4c45759d,b569fa89ba1d0723140c039e0aa7e3579015175d91435b2dfed4865f2a0e6308,81891b962bc00117efb144848e536e7392c1e6121db60ff68b1e78e6f4b8cda0
w5-q60-down30-60,443d0520be1dac541aaf3d454ee98f986bc465ea440c88bad8838461dae95f19,280480b46ec6695c7ede8dd7bf4c7043552ec238b2bd207203de847ee4f17c42,0055c952f98d89004e59f3b0957062fdaf8ecb02f81cc668cd4eb5a7febae30d
w5-q60-flat-60,b03ac718f2c94747f9dbe056cdfc1d8b9ae5f13cc0832cee591a75de2dca0bef,cd42f7032a2ee66c1f1f8d7bf850551625cc4ec3afc377269e889bdffca8f92c,5a514265d146e7295b8932510c17c2da390eea943da72344ac768623ee90d85b
w5-q60-high-drop-60,6be718402d2f65d0d1602e8362148552c06a19e6992bd5ec2ca5718492249b74,197ff282e0abb9b644566f7284ca06c509c9b6db31bb4c049e6aa3828b4568de,ba9de1e7b6483127df1358637f0fe707022e06c3db69eb6bdd03a01f90a40f13
w5-q60-occluded-60,39fcf1f9f8e2430e474dbbc93b6b7f691f8be591ddd085008be92fdd6c2e4163,b966a63ce516a2805c4e9fe544ebeecb480920e7a271110361ffe599e719e5f4,b1e8f3b44e8bdc79cb47f753b86781f2244f1c1545645840ddb63cd58de21ecf
w5-q60-slope-60,b1783f26ae17847764d7c4516ae5137cf61bb6b8ac3f4c91856cb0d0fe4d3e4d,1b1568e2367e47022aa3d7f23910c7fabde73773e11af0d19ef5a627aab07f36,f9864304554609aa57d7ee17d07945abe67217be9971d8158ff736a402a04a8d
w5-q60-up30-60,13ba5add458a4e048c4c830fb50c7ee5293b0cb8bd9e001bd27b3816330187f2,d6e67a15c1375ac9532409f90f2e68436f93c5f22b65e0e4abc8077370b6dbda,b5430b63883bea2094112a61d675b6543a236f75a1e55079cc6a6c66d7ba6724
w5-q60-wall-far-60,a9232fd5922968a2eefc663537ebfcc1f27e365efc5f33d01d15c0dae400b3c6,1c1a76b67524205781c39a8bc06300567c85376e7a6b7be522f437355b451e21,fa0564bba124affc6e0e1ef1f9f8f15613567d7f936ad44fcc3470c4d4a94c9a
w5-q60-wall-middle-60,1b22c388cc7d84deace8c01afeab9a1b4a5739e923456b783b5775a4169107ba,8f2e52f0f5f10fc3f61123383b2c41a91f4749c428ce1c494504e433a81ed5d2,d0f6d48032b3461e0d6cb45e5808ed8f43f3e665f0fc885845a86ca03ae79c3e
w5-q60-wall-near-60,7f8e62d16e7dacf6265ebbc67aa50369f5ed70c20e714ed6f1e548fd88fc0b77,9136c467c7cc5d31cb0494b879c5c9fdd7e227c58e7c65759c38223100f4ad57,d953af68435d4f62c9747e256b3267bbcb2be8a60591ffdc673d6812200944b7
